longitude,v_obs (km/s)
30,-62.9
30,-35.2
30,0.77
30,11.1
30,41.3
40,-65.92
40,-38.27
40,-2.912
40,20.88
40,54.31
40,30.84
40,28.763
40,29.471
40,88.639
40,27.84
40,17.34
40,6.347
40,52.15
40,27.15
40,-85.31
40,-49.31
40,54.69
40,4.15
40,-50.85
50,-58.82
50,-63.53
50,-3.712
50,9.146
50,5.6
50,43.3
50,5.37
50,42.57
50,-0.82
50,37.18
50,44.97
50,3.97
50,-62.03
50,2.00
50,11.70
50,16.87
60,-60.699
60,-120.27
60,-86.65
60,-6.484
60,-0.568
60,6.58
60,-17.18
60,9.92
60,15.72
60,-2.64
60,-72.64
60,-77.48
60,-1.98
60,-64.40
60,-2.17
70,-80.66
70,-2.76
70,-89.37
70,-40.23
70,-14.37
70,-8.51
70,0.55
70,10.24
70,-56.75
70,-79.146
70,-5.49
70,-12.03
70,-8.97
70,-76.97
70,-83.33
70,-10.33
80,-11.09
80,3.78
80,-60.52
80,-105.66
80,-92.16
80,-22.72
80,-17.31
80,-12.97
80,-91.84
80,-58.84
80,-14.84
90,-28.26
90,-21.83
90,-14.75
90,-12.18
90,-98.61
90,-28.53
90,-68.3
90,-29.2
90,-90.59
90,-66.59
90,-16.784
90,-69.07
90,-22.59
90,-27.63
100,-113.96
100,-116.38
100,-82.68
100,-21.631
100,-81.96
100,-21.96
100,-71.8
100,-33.8
100,-23.2
110,-117.365
110,-70.525
110,-22.285
110,-38.7
110,-31.4
110,-26
110,-72.24
110,-23.70
120,-77.55
120,-119.93
120,-80.704
120,-30.03
120,-27.55
120,0.61
130,-24.702
140,-68.99
140,-32.69
140,2.76
150,-56.2
150,-28.5
150,4.21